dataset_id,architecture_id,system_name,domain,status,role,target_eligibility,source_reference,record_doi,license_id,license_status,citation_key,raw_root,raw_files,raw_bytes,record_count,first_timestamp_utc,last_timestamp_utc,chronology_field,label_available,label_granularity,label_source,label_positive_units,label_total_units,label_access_policy,corpus_sha256,archive_md5_verified,disposition_reason,known_limitations
HDFS_v1,ARCH-HDFS,Hadoop Distributed File System (HDFS) v1,distributed_storage,ACTIVE,SOURCE_AND_TARGET,ELIGIBLE,https://github.com/logpai/loghub/tree/master/HDFS,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,data/raw/hdfs/HDFS_v1,1,1577982906,11175629,2008-11-09T20:35:18+00:00,2008-11-11T11:16:28+00:00,"record timestamp; stream order is timestamp, then file rank, then line number",YES,block_trace,preprocessed/anomaly_label.csv,16838,575061,EVALUATION_ONLY,af76a9366d6d048aa5a5b18da8970ca686fa37fda90b7a251243be44914ec8a2,,"Single append-ordered capture; normal and anomalous block traces are interleaved throughout the stream, so a label-blind chronological burn-in/evaluation cut yields an evaluation window that can contain anomalies.",
BGL,ARCH-BGL,IBM Blue Gene/L supercomputer RAS log,hpc_supercomputer,ACTIVE,SOURCE_AND_TARGET,ELIGIBLE,https://github.com/logpai/loghub/tree/master/BGL,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,data/raw/bgl/BGL,1,743185031,4747963,2005-06-03T15:42:50.363779+00:00,2006-01-04T08:00:05.233639+00:00,"record timestamp; stream order is timestamp, then file rank, then line number",YES,log_line,BGL.log:field_0_alert_marker,348460,4747963,EVALUATION_ONLY,e4cdbbbe06ee9be6885d86a5f41983aef96ab87c484a6f0b0304499ddcc9d70d,,Single append-ordered capture with inline per-record alert markers that are interleaved with non-alert records across the whole time range.,
Hadoop,ARCH-HADOOP,Hadoop YARN / MapReduce application and container logs,batch_compute_framework,ACTIVE,SOURCE_AND_TARGET,ELIGIBLE,https://github.com/logpai/loghub/tree/master/Hadoop,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,data/raw/hadoop,978,48595595,394310,2015-10-17T15:37:56.547000+00:00,2015-10-19T18:08:58.030000+00:00,"record timestamp; stream order is timestamp, then file rank, then line number",YES,application,abnormal_label.txt,44,55,EVALUATION_ONLY,d70ade2e5beb52f8b99d33ae63434e2b1ba95efe228fcd0801013c916a2d4b50,,"Normal and failure-injected applications were run interleaved on the same cluster, so applications of both classes occur throughout the wall-clock range and a label-blind chronological cut is informative.",Container logs contain wrapped stack traces; continuation lines are retained as CONTINUATION records so one raw line always maps to one canonical record.
OpenStack,ARCH-OPENSTACK,OpenStack Nova cloud control-plane services,cloud_iaas_control_plane,ACTIVE,SOURCE_ONLY,SOURCE_ONLY,https://github.com/logpai/loghub/tree/master/OpenStack,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,data/raw/openstack,3,61442082,207820,2017-05-14T19:39:01.445000+00:00,2017-05-17T12:02:35.320000+00:00,"record timestamp; stream order is timestamp, then file rank, then line number",YES,instance_uuid,anomaly_labels.txt,4,4,EVALUATION_ONLY,1975bd4a7d9cbfd45e38e56e83e56a6a43a62c01724c5a1e188088b899caacdb,,"The raw data is delivered as three separate capture sessions. The only label-blind ordering of those sessions is wall-clock, and wall-clock places the entire anomaly-bearing capture (2017-05-14) strictly before both normal captures (2017-05-16/17). A label-blind chronological burn-in then consumes every anomaly and leaves an evaluation window with no positives. Ordering the sessions any other way would use the source-provided normal/abnormal file identity, which is ground truth. The architecture is therefore an ACTIVE source domain and is not a LOAO target fold.",
Thunderbird,,,,REJECTED,NOT_ACTIVE,NOT_EVALUATED,https://github.com/logpai/loghub,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,,0,2016100000,,,,,NOT_VERIFIED,,,,,N/A,,,"Distinct HPC architecture and a strong portfolio candidate, but the archive alone is ~2.0 GB compressed and expands to tens of GB. The working volume had 2.2 GB free at portfolio time, so it could not be materialised, and an unverifiable dataset may not enter the registry.",
Spirit,,,,REJECTED,NOT_ACTIVE,NOT_EVALUATED,https://github.com/logpai/loghub,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,,0,0,,,,,NOT_VERIFIED,,,,,N/A,,,Not distributed in Zenodo record 8196385.,
Spark,,,,REJECTED,NOT_ACTIVE,NOT_EVALUATED,https://github.com/logpai/loghub,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,,0,183470000,,,,,NOT_VERIFIED,,,,,N/A,,,"No ground-truth anomaly labels are distributed with the Loghub Spark data, so it cannot serve as a LOAO target, and ~2.75 GB expanded exceeds the available volume.",
HDFS_v2,,,,REJECTED,NOT_ACTIVE,NOT_EVALUATED,https://github.com/logpai/loghub,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,,0,823700000,,,,,NOT_VERIFIED,,,,,N/A,,,"Same log-producing architecture as the already-active HDFS_v1, so it adds no architecture diversity to a leave-one-architecture-out design.",
HDFS_v3_TraceBench,,,,REJECTED,NOT_ACTIVE,NOT_EVALUATED,https://github.com/logpai/loghub,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,,0,567420000,,,,,NOT_VERIFIED,,,,,N/A,,,Same architecture family as HDFS_v1; adds no distinct architecture.,
Zookeeper / HPC / Linux / Apache / Proxifier / OpenSSH / Mac / Windows / Android / HealthApp / SSH,,,,CANDIDATE,NOT_ACTIVE,NOT_EVALUATED,https://github.com/logpai/loghub,https://doi.org/10.5281/zenodo.8196385,CC-BY-4.0,VERIFIED_FROM_ZENODO_RECORD_METADATA,S1,,0,0,,,,,NOT_VERIFIED,,,,,N/A,,,"Available in the same Zenodo record and cheap to materialise, but not evaluated: the active portfolio already satisfies the Excel G0 minimum of three source architectures per fold, and the plan asks for the smallest defensible portfolio. Label availability for these was NOT verified and must not be assumed.",
